ID,Pol,Godine,SkolaPoTipu,SkolaPoRegionu,Uspeh,EkonomskiPolozaj,ImaKomp,ZadovoljanPristupom,NetKablovski,NetWirKomp,NetWirMobilni,NetADSL,NeZnaNet,KolikoDugo,KolikoNedeljno,KolikNajduze,Predhodnih6meseci,DaMozeDaLiBi,Sadrzaj1,Sadrzaj2,Sadrzaj3,Sadrzaj4,Sadrzaj5,Sadrzaj6,Sadrzaj7,Sadrzaj8,Sadrzaj9,Sadrzaj10,Sadrzaj11,Sadrzaj12,Sadrzaj13,Aktivnost1,Aktivnost2,Aktivnost3,Aktivnost4,Aktivnost5,Aktivnost6,Aktivnost7,Aktivnost8,Aktivnost9,Aktivnost10,Aktivnost11,Aktivnost12,Aktivnost13,Aktivnost14,PROT_SADR_AKT,RISK_SADR_AKT,DaLiSvakodnevnoFb,BrojaSatiFB,NemaFB,FBcitaPostove,FBpiseStatuse,FBdeliMuzikuFotografijeIsl,FBigraIgrice,FBcetuje,FBgrupe,FBupotreba,FBdrugo,BrojDana,IntenzitetFizAkt,KolikoTrajeAkt,EnergetskoP,EnergetskoPml,Grickalice,Pusac,KolikoCigareta,Kafa_bin,Alkohol_bin,Droga,TEMPS1,TEMPS2,TEMPS3,TEMPS4,TEMPS5,TEMPS6,TEMPS7,TEMPS8,TEMPS9,TEMPS10,TEMPS11,TEMPS12,TEMPS13,TEMPS14,TEMPS15,TEMPS16,TEMPS17,TEMPS18,TEMPS19,TEMPS20,TEMPS21,TEMPS22,TEMPS23,TEMPS24,TEMPS25,TEMPS26,TEMPS27,TEMPS28,TEMPS29,TEMPS30,TEMPS31,TEMPS32,TEMPS33,TEMPS34,TEMPS35,TEMPS36,Depresivan,Ciklotimicni,Hipertimicni,Iritabilni,Anksiozni,Temper_bin,Internet1,Internet2,Internet3,Internet4,Internet5,Internet6,Internet7,Internet8,Internet9,Internet10,Internet11,Internet12,Internet13,Internet14,Internet15,Internet16,Internet17,Internet18,NKP,PI,SPO,PUI,PUIcutoff
1714,0,17,1,2,4,2,1,5,0,1,1,0,0,4,3,1,0,0,2,3,5,2,5,2,1,1,5,3,5,3,1,5,5,2,3,5,2,1,5,5,3,5,5,3,1,38,45,1,1,0,1,0,1,0,1,1,4,0,2,1,45,0,0, ,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0.7142857142857142,0.28571428571428603,0.875,0.14285714285714302,0.857142857142857,1,2,1,1,1,2,1,1,1,1,5,1,1,5,2,2,5,1,1,11,11,12,34,0.0
1715,0,17,1,2,4,4,1,4,0,1,1,1,0,5,4,1,1,0,1,1,3,2,3,3,3,3,5,3,3,3,3,2,5,2,4,4,3,2,3,4,1,3,4,3,1,34,40,1,2,0,1,0,1,0,0,1,3,0, ,2,90,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0.14285714285714302,0.7142857142857142,0.625,0.7142857142857142,0.14285714285714302,0,2,1,1,1,1,2,1,1,1,2,1,1,3,1,1,1,1,1,9,7,7,23,0.0
1716,1, ,1,2,2,4,1,2,0,0,1,1,0,7,6,2,0,0,4,3,3,4,2,4,2,1,5,2,3,5,3,1,2,2,2,5,1,1,3,3,4,4,5,5,1,41,36,2,.5,0,1,1,1,0,0,0,3,0,4,2,150,0,0,1,0,15,0,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0.28571428571428603,0.5714285714285711,0.875,0.0,0.5714285714285711,1,3,2,4,4,5,1,2,3,1,1,3,4,1,3,4,4,3,3,28,15,8,51,1.0
1717,1,17,1,2,3,4,1,5,1,0,1,1,0,4,4,1,2,0,3,1,5,4,1,1,2,3,5,3,2,4,3,3,5,5,2,5,4,1,4,5,1,1,3,1,2,30,44,2,4,0,1,0,0,0,0,0,1,0,3,1,120,0,0,1,0,6,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0.28571428571428603,0.5714285714285711,1.0,0.5714285714285711,0.28571428571428603,1,3,2,1,2,2,1,2,1,1,1,1,1,1,2,3,3,1,1,14,11,4,29,0.0
1718,1,17,1,2,4,2,1,3,1,0,0,0,0,3,2,1,2,1,1,2,3,3,2,4,3,3,5,3,3,3,2,4,5,3,2,3,2,2,2,1,3,2,4,3,2,29,43,2,3,0,0,0,1,1,1,1,4,0,6,3,120,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0.42857142857142894,0.857142857142857,0.75,0.7142857142857142,0.857142857142857,0,2,3,3,3,3,2,4,3,4,3,2,2,2,3,2,3,2,2,22,17,9,48,1.0
1719,1,16,1,2,3,4,1,2,0,0,1,0,0,2,4,1,2,1,1,2,5,3,4,4,1,5,4,3,2,4,4,1,3,1,4,5,4,2,1,3,4,4,5,3,4,39,42,2,1,0,0,0,0,0,1,0,1,0,4,2,90,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0.0,0.5714285714285711,0.75,0.5714285714285711,0.28571428571428603,1,4,1,3,2,5,2,1,1,2,3,2,1,4,5,5,4,2,3,24,15,11,50,1.0
1720,1,17,1,2,3,3,1,4,1,0,0,0,0,2,5,1,1,0,1,1,3,3,1,2,1,4,5,3,2,3,1,4,5,2,1,2,3,1,4,3,5,5,5,3,3,27,46,2,4,0,0,0,0,1,0,0,1,0,4,1, ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0.0,1.0,0.75,0.42857142857142894,0.28571428571428603,0,4,3,4,1,1,3,2,2,3,3,2,2,1,4,5,3,4,2,20,19,10,49,1.0
1721,1,17,1,2,3,4,1,3,0,1,0,0,0,5,3,1,0,0,1,2,5,3,2,3,3,5,4,4,3,2,2,2,5,2,1,4,3,1,5,4,2,1,3,3,1,29,42,2,3,0,0,0,0,0,1,0,1,0,6,2,120,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714302,0.625,0.42857142857142894,0.0,1,2,2,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,12,8,5,25,0.0
1722,1,17,1,2,4,3,1,4,0,0,0,1,0,5,3,1,2,0,1,2,5,2,4,4,3,3,5,3,3,4,3,5,5,1,2,5,3,1,3,1,1,2,5,5,2,37,41,2,2,0,0,0,1,0,1,0,2,1,7,3,90,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0.28571428571428603,0.7142857142857142,0.75,0.7142857142857142,0.5714285714285711,1,2,2,3,1,5,1,3,2,1,2,1,2,3,3,5,4,2,3,22,15,8,45,1.0
1723,0,17,1,2,4,5,1,4,0,1,1,1,0,6,5,2,1,0,1,1,2,1,4,5,5,3,5,3,4,3,1,3,5,4,4,3,2,1,3,2,1,4,4,3,1,36,40,2,6,0,1,0,0,0,0,0,1,0,3,2,120,1,800,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0.14285714285714302,0.857142857142857,0.75,0.5714285714285711,0.5714285714285711,0,2,1,2,1,3,2,1,1,1,3,1,2,1,2,1,4,1,2,15,10,6,31,0.0
1724,1,17,1,2,3,2,1,3,0,0,0,1,0,6,2,1,0,0,1,1,1,3,2,3,4,5,5,1,2,4,3,2,5,3,4,4,2,2,3,4,1,4,5,2,2,35,42,2,2,0,1,0,1,0,1,0,3,0,0,1,30,1,500,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0.28571428571428603,0.5714285714285711,0.5,0.5714285714285711,0.42857142857142894,0,3,2,2,2,4,4,1,1,1,2,1,2,2,2,2,2,2,2,18,12,7,37,0.0
1725,1,17,1,2,4,4,1,3,1,0,0,0,0,5,5,1,1,0,3,1,5,3,4,3,1,5,5,1,1,3,2,2,5,2,1,5,5,3,5,5,3,4,5,5,1,37,46,2,3,0,0,0,0,0,1,0,1,0,5,1,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.14285714285714302,1.0,0.0,0.0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,10,7,4,21,0.0
1726,0,16,1,2,3,3,1,3,0,0,1,0,0, ,3,1,1,0,1,1,2,2,2,4,2,1,5,2,4,4,2,3,5,2,3,3,3,3,5,3,2,3,4,3,4,35,41,2,2,0,0,0,0,0,1,0,1,0,2,1,60,1,300,1,0,10,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,0.42857142857142894,0.857142857142857,0.625,0.857142857142857,0.5714285714285711,0,4,1,2,2,5,2,3,1,1,2,1,1,1,4,5,3,2,3,24,13,6,43,1.0
1727,1,17,1,2,2,3,1,4,0,0,0,1,0,10,4,3,1,0,1,2,5,2,2,3,2,4,5,3,2,2,2,2,5,2,2,4,2,2,4,3,3,2,4,3,2,28,42,2,5,0,1,0,0,0,1,1,3,0,6,3,120,1, ,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0.14285714285714302,0.28571428571428603,0.875,0.42857142857142894,0.28571428571428603,1,4,3,4,3,4,3,3,3,4,3,2,4,3,4,4,4,3,3,29,21,11,61,1.0
